,Builder Name,State,District,Location,Highway (mtrs),Railway (mtrs),Metro (mtrs),Bus Stop (mtrs),Closest Educational Institute Distance (m),Closest Hospital Distance (m),Closest Mall Distance (m),Closest Business Park distance (m),Flat number,Flat type (bhk),Area ,No. of bathrooms,Parking,Price per sq feet,Total price (approx),Gym,Swimming pool,Garden,Yoga area,Play area,Shopping area,ATM/Finance
28,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,801.0,1,378,1,1,21000,7938000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
29,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,802.0,2,570,2,1,21000,11970000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
30,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,803.0,2,538,2,1,21000,11298000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
31,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,804.0,2,520,2,1,21000,10920000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
32,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,901.0,1,378,1,1,21000,7938000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
33,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,902.0,2,570,2,1,21000,11970000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
34,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,903.0,2,538,2,1,21000,11298000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
35,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,904.0,2,520,2,1,21000,10920000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
36,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1001.0,1,378,1,1,21000,7938000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
37,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1002.0,2,570,2,1,21000,11970000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
38,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1003.0,2,538,2,1,21000,11298000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
39,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1004.0,2,520,2,1,21000,10920000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
40,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1101.0,1,378,1,1,21500,8127000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
41,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1102.0,2,570,2,1,21500,12255000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
42,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1103.0,2,538,2,1,21500,11567000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
43,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1104.0,2,520,2,1,21500,11180000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
44,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1201.0,1,378,1,1,21500,8127000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
45,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1202.0,2,570,2,1,21500,12255000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
46,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1203.0,2,538,2,1,21500,11567000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
47,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1204.0,2,520,2,1,21500,11180000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
48,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1301.0,1,378,1,1,21500,8127000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
49,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1302.0,2,570,2,1,21500,12255000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
50,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1303.0,2,538,2,1,21500,11567000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
51,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1304.0,2,520,2,1,21500,11180000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
52,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1401.0,1,378,1,1,21500,8127000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
53,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1402.0,2,570,2,1,21500,12255000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
54,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1403.0,2,538,2,1,21500,11567000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
55,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1404.0,2,520,2,1,21500,11180000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
56,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1501.0,1,378,1,1,22000,8316000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
57,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1502.0,2,570,2,1,22000,12540000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
58,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1503.0,2,538,2,1,22000,11836000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
59,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1504.0,2,520,2,1,22000,11440000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
60,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1601.0,1,378,1,1,22000,8316000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
61,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1602.0,2,570,2,1,22000,12540000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
62,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1603.0,2,538,2,1,22000,11836000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
63,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1604.0,2,520,2,1,22000,11440000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
64,Dem Phoenix,Maharastra,Mumbai,0.0,900,2000,1000,1000.0,1000.0,1900.0,1800.0,3800.0,1701.0,1,378,1,1,22000,8316000,1.0,0.0,1.0,1.0,1.0,0.0,0.0
