,closestEducationalInstituteDistance,flatType,Area,pricePerSqFeet,shoppingArea,totalSalePrice,predictedSalePrice
0,1400.0,2.0,831.0000000000003,30100.000000000004,1.0,28618079.686484795,28507840.000000015
1,1400.0,3.0,1051.0000000000002,30500.000000000022,1.0,38574972.02414093,36179040.00000004
2,1300.0,3.0,1320.0,26999.999999999996,1.0,35832873.00347087,35640000.00000002
3,1000.0,2.0,520.0,21499.99999999998,0.0,11210233.908447815,11179999.999999981
4,1400.0,2.0,736.0000000000003,30100.000000000004,1.0,26375416.44538335,27649540.000000022
5,1400.0,3.0,1051.0000000000002,27699.99999999999,1.0,34496831.24505173,36436240.000000015
6,1400.0,2.0,736.0000000000003,30500.000000000022,1.0,26824506.401045553,25643939.999999963
7,1400.0,2.0,713.0,28600.000000000007,1.0,23611587.24026825,23563820.0
8,1400.0,2.0,831.0000000000003,29900.0,1.0,28299496.921601247,28341640.00000003
9,1400.0,2.0,831.0000000000003,28900.00000000002,1.0,27506659.494136143,27510640.000000037
10,1300.0,3.0,1277.9999999999998,31250.000000000025,1.0,40065725.87650008,39937500.00000003
11,1300.0,3.0,1694.9999999999998,30149.999999999993,1.0,51124798.081000514,51104249.99999993
12,1300.0,3.0,1277.9999999999998,33700.00000000001,1.0,42989100.53393583,43068600.00000001
13,1400.0,4.0,1740.0000000000005,29099.999999999996,1.0,61965463.367209874,61874099.99999997
14,1400.0,2.0,736.0000000000003,29600.000000000004,1.0,26006550.005701683,27281540.000000007
15,1000.0,2.0,520.0,20999.999999999985,0.0,10943548.995739654,10920000.000000002
16,1400.0,2.0,831.0000000000003,30199.99999999999,1.0,28631704.741207615,28590940.00000003
17,1000.0,2.0,570.0000000000002,20560.000000000015,0.0,11745707.52691569,11719199.999999993
18,1300.0,3.0,1694.9999999999998,26999.999999999996,1.0,45917623.36382095,45765000.00000002
19,1300.0,3.0,1694.9999999999998,31700.000000000004,1.0,53642178.13592112,53731499.99999995
20,1300.0,3.0,1320.0,28949.999999999996,1.0,38529797.03711089,38214000.00000002
