,closestEducationalInstituteDistance,flatType,Area,pricePerSqFeet,shoppingArea,totalSalePrice,predictedSalePrice
0,1400.0,2.0,831.0000000000003,30100.000000000004,1.0,28507840.000000015,27356170.000798192
1,1400.0,3.0,1051.0000000000002,30500.000000000022,1.0,36179040.00000004,37289684.67708832
2,1300.0,3.0,1320.0,26999.999999999996,1.0,35640000.00000002,37222613.75017188
3,1000.0,2.0,520.0,21499.99999999998,0.0,11179999.999999981,11308643.314142998
4,1400.0,2.0,736.0000000000003,30100.000000000004,1.0,27649540.000000022,26200453.485008296
5,1400.0,3.0,1051.0000000000002,27699.99999999999,1.0,36436240.000000015,34505441.20857604
6,1400.0,2.0,736.0000000000003,30500.000000000022,1.0,25643939.999999963,26458281.114513136
7,1400.0,2.0,713.0,28600.000000000007,1.0,23563820.0,24871117.9002975
8,1400.0,2.0,831.0000000000003,29900.0,1.0,28341640.00000003,27220088.7612649
9,1400.0,2.0,831.0000000000003,28900.00000000002,1.0,27510640.000000037,26512820.17794295
10,1300.0,3.0,1277.9999999999998,31250.000000000025,1.0,39937500.00000003,42155308.98814499
11,1300.0,3.0,1694.9999999999998,30149.999999999993,1.0,51104249.99999993,49780659.38054658
12,1300.0,3.0,1277.9999999999998,33700.00000000001,1.0,43068600.00000001,44684151.3891629
13,1400.0,4.0,1740.0000000000005,29099.999999999996,1.0,61874099.99999997,59264168.94795412
14,1400.0,2.0,736.0000000000003,29600.000000000004,1.0,27281540.000000007,25864365.759977043
15,1000.0,2.0,520.0,20999.999999999985,0.0,10920000.000000002,11256661.237860288
16,1400.0,2.0,831.0000000000003,30199.99999999999,1.0,28590940.00000003,27423390.487180557
17,1000.0,2.0,570.0000000000002,20560.000000000015,0.0,11719199.999999993,11756288.123978175
18,1300.0,3.0,1694.9999999999998,26999.999999999996,1.0,45765000.00000002,43247366.105726585
19,1300.0,3.0,1694.9999999999998,31700.000000000004,1.0,53731499.99999995,52421344.83989892
20,1300.0,3.0,1320.0,28949.999999999996,1.0,38214000.00000002,39989111.97164509
21,1300.0,3.0,1694.9999999999998,30649.99999999999,1.0,51951750.000000015,50703992.46742161
22,1400.0,2.0,736.0000000000003,28900.00000000002,1.0,24466339.999999966,25372932.86921825
23,1400.0,3.0,1051.0000000000002,30500.000000000022,1.0,36179040.00000004,37289684.67708832
24,1400.0,2.0,736.0000000000003,29400.000000000007,1.0,24834340.00000004,25726190.96063112
25,1300.0,3.0,1277.9999999999998,32299.99999999998,1.0,41279399.99999997,43410768.83563288
26,1400.0,2.0,713.0,29500.000000000025,1.0,24205519.99999997,25508378.53533427
27,1300.0,3.0,1320.0,30149.999999999993,1.0,39797999.999999955,41724327.658647
28,1300.0,3.0,1277.9999999999998,27450.000000000004,1.0,35081099.99999994,37034175.76069088
29,1400.0,4.0,1740.0000000000005,28200.00000000002,1.0,60308100.0000001,57587466.837380745
30,1400.0,2.0,831.0000000000003,27600.0,1.0,26430339.99999996,25552862.914121214
31,1400.0,2.0,831.0000000000003,28799.999999999993,1.0,27427539.999999966,26440156.850365702
32,1400.0,4.0,1740.0000000000005,30000.000000000007,1.0,63440099.9999999,60271612.81747024
33,1400.0,2.0,831.0000000000003,28799.999999999993,1.0,27427539.999999966,26440156.850365702
34,1300.0,3.0,1694.9999999999998,33400.0,1.0,56612999.99999993,54271295.321539536
35,1400.0,2.0,831.0000000000003,28399.999999999993,1.0,27095140.000000045,26147027.55027875
36,1400.0,2.0,736.0000000000003,28900.00000000002,1.0,26766339.99999996,25372932.86921825
37,20.0,2.0,701.9999999999998,24900.000000000004,0.0,17479800.0,16540800.260766659
38,1400.0,2.0,831.0000000000003,30199.99999999999,1.0,28590940.00000003,27423390.487180557
39,1000.0,2.0,538.0,22000.0,0.0,11835999.999999989,11606714.051551815
40,1300.0,3.0,1277.9999999999998,32150.000000000004,1.0,41087700.0,43243967.828098156
41,20.0,2.0,636.9999999999999,24549.99999999998,0.0,15638350.000000013,15725888.69774824
42,20.0,2.0,701.9999999999998,24049.999999999985,0.0,16883099.999999985,16240128.359026812
43,1000.0,1.0,378.0000000000001,22499.99999999999,0.0,8504999.999999998,8496446.284539826
44,1000.0,2.0,538.0,20560.000000000015,0.0,11061280.000000019,11444409.111233441
45,20.0,2.0,636.9999999999999,24200.00000000002,0.0,15415400.00000001,15598827.478071608
46,1300.0,3.0,1694.9999999999998,28350.0,1.0,48053250.00000003,46133863.83208128
47,1400.0,3.0,1051.0000000000002,28600.000000000007,1.0,37382140.00000001,35405198.81651894
48,1000.0,2.0,520.0,22000.0,0.0,11440000.00000001,11447431.228310023
49,1000.0,1.0,378.0000000000001,22499.99999999999,0.0,8504999.999999998,8496446.284539826
50,1400.0,2.0,713.0,28000.000000000004,1.0,23136020.000000015,24431490.097427662
51,1000.0,2.0,538.0,22499.99999999999,0.0,12104999.999999985,11825220.694162378
52,1300.0,3.0,1277.9999999999998,27600.0,1.0,35272799.99999999,37231690.0608859
53,20.0,2.0,636.9999999999999,24599.99999999998,0.0,15670199.999999985,15745685.223612713
54,1400.0,2.0,831.0000000000003,27699.99999999999,1.0,26513440.0,25627476.24296841
55,1400.0,2.0,713.0,29099.999999999996,1.0,23920320.00000002,25229251.66096044
56,1400.0,2.0,736.0000000000003,29799.99999999999,1.0,25128740.000000037,26000490.58123481
57,1300.0,3.0,1277.9999999999998,30500.000000000022,1.0,38979000.00000002,41167473.49384953
58,1300.0,3.0,1694.9999999999998,29550.00000000002,1.0,50087250.00000007,48609151.88147093
59,1400.0,2.0,736.0000000000003,30100.000000000004,1.0,25349539.999999966,26200453.485008296
60,20.0,2.0,604.0000000000001,24200.00000000002,0.0,14616799.999999974,15263048.946604181
61,20.0,2.0,604.0000000000001,24100.000000000004,0.0,14556400.000000019,15229681.100249428
62,1400.0,2.0,713.0,30500.000000000022,1.0,24918520.000000007,26167819.517272167
63,1400.0,3.0,1051.0000000000002,30199.99999999999,1.0,39063739.99999997,36998376.57369482
64,1000.0,2.0,538.0,22000.0,0.0,11835999.999999989,11606714.051551815
65,1400.0,2.0,713.0,29700.00000000002,1.0,24348120.000000026,25644997.803153887
66,1000.0,2.0,520.0,20560.000000000015,0.0,10691199.999999998,11288484.928392349
67,1400.0,3.0,1051.0000000000002,28000.000000000004,1.0,33551540.000000022,34805022.0568511
68,1400.0,2.0,736.0000000000003,30400.00000000002,1.0,27870340.00000003,26394829.855797276
69,20.0,2.0,636.9999999999999,24049.999999999985,0.0,15319850.000000015,15550820.385418663
70,1300.0,3.0,1320.0,32449.999999999996,1.0,42833999.999999955,44719750.82745756
71,1000.0,2.0,570.0000000000002,20560.000000000015,0.0,11719199.999999993,11756288.123978175
72,1000.0,2.0,538.0,22499.99999999999,0.0,12104999.999999985,11825220.694162378
73,1400.0,4.0,1740.0000000000005,28600.000000000007,1.0,61004100.00000004,58413599.72184346
74,1000.0,2.0,570.0000000000002,20560.000000000015,0.0,11719199.999999993,11756288.123978175
75,1300.0,3.0,1694.9999999999998,33849.99999999998,1.0,57375750.00000001,54515593.21579105
76,1400.0,2.0,736.0000000000003,30000.000000000007,1.0,27575940.00000003,26134391.296409078
77,1000.0,1.0,378.0000000000001,21499.99999999998,0.0,8126999.999999995,8175766.592105757
78,1000.0,2.0,538.0,20999.999999999985,0.0,11297999.999999983,11414000.877950484
79,1300.0,3.0,1320.0,33849.99999999998,1.0,44682000.000000015,45949572.20499713
80,1400.0,2.0,736.0000000000003,30000.000000000007,1.0,27575940.00000003,26134391.296409078
81,1000.0,2.0,538.0,21499.99999999998,0.0,11567000.000000002,11467173.949113972
82,1000.0,2.0,520.0,20560.000000000015,0.0,10691199.999999998,11288484.928392349
83,1300.0,3.0,1277.9999999999998,31850.000000000007,1.0,40704300.0,42896537.33262295
84,1400.0,2.0,736.0000000000003,29200.00000000001,1.0,24687139.999999978,25586140.96230242
85,1400.0,2.0,713.0,30299.999999999975,1.0,24775919.99999996,26041001.28747062
86,1000.0,2.0,520.0,20560.000000000015,0.0,10691199.999999998,11288484.928392349
87,1000.0,1.0,378.0000000000001,22499.99999999999,0.0,8504999.999999998,8496446.284539826
88,1400.0,3.0,1051.0000000000002,28200.00000000002,1.0,33761740.00000001,35004913.68278056
89,1400.0,2.0,831.0000000000003,27600.0,1.0,26430339.99999996,25552862.914121214
90,1400.0,2.0,736.0000000000003,27600.0,1.0,25809539.999999985,24419178.10679058
91,1400.0,2.0,831.0000000000003,29000.00000000001,1.0,27593739.999999974,26585195.453972287
92,1300.0,3.0,1277.9999999999998,30450.000000000015,1.0,38915100.000000015,41100008.20447055
93,1400.0,3.0,1051.0000000000002,28300.000000000015,1.0,37066839.999999955,35104923.64395167
94,1000.0,1.0,378.0000000000001,20560.000000000015,0.0,7771679.999999994,8205009.314555791
95,1400.0,2.0,736.0000000000003,28100.000000000004,1.0,26177540.000000026,24790158.298579466
96,20.0,1.0,409.00000000000017,24750.000000000007,0.0,10122750.000000017,10676114.535051992
97,20.0,2.0,604.0000000000001,24599.99999999998,0.0,14858400.000000004,15414226.88259327
98,1000.0,2.0,520.0,22000.0,0.0,11440000.00000001,11447431.228310023
99,20.0,2.0,604.0000000000001,23999.999999999985,0.0,14496000.000000007,15198165.851429492
100,1400.0,2.0,831.0000000000003,28399.999999999993,1.0,27095140.000000045,26147027.55027875
101,1400.0,3.0,1051.0000000000002,28100.000000000004,1.0,33656640.00000006,34904947.155187786
102,1000.0,1.0,378.0000000000001,20560.000000000015,0.0,7771679.999999994,8205009.314555791
103,1400.0,2.0,736.0000000000003,30299.999999999975,1.0,27796740.000000045,26330694.07615793
104,1300.0,3.0,1277.9999999999998,27900.000000000007,1.0,35656200.0,37629135.881155975
105,1400.0,2.0,831.0000000000003,29400.000000000007,1.0,27926139.999999993,26871396.175135016
