,closestEducationalInstituteDistance,flatType,Area,pricePerSqFeet,shoppingArea,totalSalePrice,predictedSalePrice
0,1400.0,2.0,831.0000000000003,30100.000000000004,1.0,28507840.000000015,28509494.785638053
1,1400.0,3.0,1051.0000000000002,30500.000000000022,1.0,36179040.00000004,39327260.354455434
2,1300.0,3.0,1320.0,26999.999999999996,1.0,35640000.00000002,35694224.19592271
3,1000.0,2.0,520.0,21499.99999999998,0.0,11179999.999999981,11179999.999999981
4,1400.0,2.0,736.0000000000003,30100.000000000004,1.0,27649540.000000022,26491474.64167123
5,1400.0,3.0,1051.0000000000002,27699.99999999999,1.0,36436240.000000015,34345702.00071376
6,1400.0,2.0,736.0000000000003,30500.000000000022,1.0,25643939.999999963,26958789.71363321
7,1400.0,2.0,713.0,28600.000000000007,1.0,23563820.0,23584466.203410845
8,1400.0,2.0,831.0000000000003,29900.0,1.0,28341640.00000003,28358238.103746366
9,1400.0,2.0,831.0000000000003,28900.00000000002,1.0,27510640.000000037,27518938.725843765
10,1300.0,3.0,1277.9999999999998,31250.000000000025,1.0,39937500.00000003,40055827.414538674
11,1300.0,3.0,1694.9999999999998,30149.999999999993,1.0,51104249.99999993,51177763.97066182
12,1300.0,3.0,1277.9999999999998,33700.00000000001,1.0,43068600.00000001,43190004.1782274
13,1400.0,4.0,1740.0000000000005,29099.999999999996,1.0,61874099.99999997,62053043.55577537
14,1400.0,2.0,736.0000000000003,29600.000000000004,1.0,27281540.000000007,25748481.223327715
15,1000.0,2.0,520.0,20999.999999999985,0.0,10920000.000000002,10920000.000000002
16,1400.0,2.0,831.0000000000003,30199.99999999999,1.0,28590940.00000003,28600896.85415588
17,1000.0,2.0,570.0000000000002,20560.000000000015,0.0,11719199.999999993,11719199.999999993
18,1300.0,3.0,1694.9999999999998,26999.999999999996,1.0,45765000.00000002,46062332.012638606
19,1300.0,3.0,1694.9999999999998,31700.000000000004,1.0,53731499.99999995,53754152.95530092
20,1300.0,3.0,1320.0,28949.999999999996,1.0,38214000.00000002,38084621.1893441
21,1300.0,3.0,1694.9999999999998,30649.99999999999,1.0,51951750.000000015,52040521.55577278
22,1400.0,2.0,736.0000000000003,28900.00000000002,1.0,24466339.999999966,25466483.87359293
23,1400.0,3.0,1051.0000000000002,30500.000000000022,1.0,36179040.00000004,39327260.354455434
24,1400.0,2.0,736.0000000000003,29400.000000000007,1.0,24834340.00000004,25844178.97302098
25,1300.0,3.0,1277.9999999999998,32299.99999999998,1.0,41279399.99999997,41336772.44114768
26,1400.0,2.0,713.0,29500.000000000025,1.0,24205519.99999997,24230430.18627495
27,1300.0,3.0,1320.0,30149.999999999993,1.0,39797999.999999955,39835435.76592127
28,1300.0,3.0,1277.9999999999998,27450.000000000004,1.0,35081099.99999994,35091941.74804516
29,1400.0,4.0,1740.0000000000005,28200.00000000002,1.0,60308100.0000001,60331755.79326238
30,1400.0,2.0,831.0000000000003,27600.0,1.0,26430339.99999996,26443618.4760445
31,1400.0,2.0,831.0000000000003,28799.999999999993,1.0,27427539.999999966,27439988.979172394
32,1400.0,4.0,1740.0000000000005,30000.000000000007,1.0,63440099.9999999,63596247.32452243
33,1400.0,2.0,831.0000000000003,28799.999999999993,1.0,27427539.999999966,27439988.979172394
34,1300.0,3.0,1694.9999999999998,33400.0,1.0,56612999.99999993,56678904.08746585
35,1400.0,2.0,831.0000000000003,28399.999999999993,1.0,27095140.000000045,27110079.225864712
36,1400.0,2.0,736.0000000000003,28900.00000000002,1.0,26766339.99999996,25466483.87359293
37,20.0,2.0,701.9999999999998,24900.000000000004,0.0,17479800.0,17423250.774550945
38,1400.0,2.0,831.0000000000003,30199.99999999999,1.0,28590940.00000003,28600896.85415588
39,1000.0,2.0,538.0,22000.0,0.0,11835999.999999989,11835999.999999989
40,1300.0,3.0,1277.9999999999998,32150.000000000004,1.0,41087700.0,41152662.525876515
41,20.0,2.0,636.9999999999999,24549.99999999998,0.0,15638350.000000013,15620447.045563957
42,20.0,2.0,701.9999999999998,24049.999999999985,0.0,16883099.999999985,16899117.022436645
43,1000.0,1.0,378.0000000000001,22499.99999999999,0.0,8504999.999999998,8505000.000000013
44,1000.0,2.0,538.0,20560.000000000015,0.0,11061280.000000019,11061280.000000019
45,20.0,2.0,636.9999999999999,24200.00000000002,0.0,15415400.00000001,15430969.985324543
46,1300.0,3.0,1694.9999999999998,28350.0,1.0,48053250.00000003,48080963.565617874
47,1400.0,3.0,1051.0000000000002,28600.000000000007,1.0,37382140.00000001,35266084.948221296
48,1000.0,2.0,520.0,22000.0,0.0,11440000.00000001,11442571.183607865
49,1000.0,1.0,378.0000000000001,22499.99999999999,0.0,8504999.999999998,8505000.000000013
50,1400.0,2.0,713.0,28000.000000000004,1.0,23136020.000000015,23152386.39842985
51,1000.0,2.0,538.0,22499.99999999999,0.0,12104999.999999985,12102279.96644514
52,1300.0,3.0,1277.9999999999998,27600.0,1.0,35272799.99999999,35185570.99339717
53,20.0,2.0,636.9999999999999,24599.99999999998,0.0,15670199.999999985,15698163.70762365
54,1400.0,2.0,831.0000000000003,27699.99999999999,1.0,26513440.0,26517588.826720394
55,1400.0,2.0,713.0,29099.999999999996,1.0,23920320.00000002,23938826.955701098
56,1400.0,2.0,736.0000000000003,29799.99999999999,1.0,25128740.000000037,26160336.365570877
57,1300.0,3.0,1277.9999999999998,30500.000000000022,1.0,38979000.00000002,39111483.27148206
58,1300.0,3.0,1694.9999999999998,29550.00000000002,1.0,50087250.00000007,50170958.51362778
