,builderName,State,District,Location,Highway,Railway,Metro,busStop,closestEducationalInstituteDistance,closestHospitalDistance,closestMallDistance,closestBusinessParkDistance,flatNumber,flatType,Area,noOfBathrooms,Parking,pricePerSqFeet,totalPrice,Gym,swimmingPool,Garden,yogaArea,playArea,shoppingArea,ATM/Finance,cluster
21,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,602,2,570,2,1,20560,11719200,1,0,1,1,1,0,0,18
22,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,603,2,538,2,1,20560,11061280,1,0,1,1,1,0,0,18
23,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,604,2,520,2,1,20560,10691200,1,0,1,1,1,0,0,18
24,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,701,1,378,1,1,21000,7938000,1,0,1,1,1,0,0,4
25,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,702,2,570,2,1,21000,11970000,1,0,1,1,1,0,0,18
26,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,703,2,538,2,1,21000,11298000,1,0,1,1,1,0,0,18
27,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,704,2,520,2,1,21000,10920000,1,0,1,1,1,0,0,18
28,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,801,1,378,1,1,21000,7938000,1,0,1,1,1,0,0,4
29,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,802,2,570,2,1,21000,11970000,1,0,1,1,1,0,0,18
30,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,803,2,538,2,1,21000,11298000,1,0,1,1,1,0,0,18
31,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,804,2,520,2,1,21000,10920000,1,0,1,1,1,0,0,18
32,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,901,1,378,1,1,21000,7938000,1,0,1,1,1,0,0,4
33,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,902,2,570,2,1,21000,11970000,1,0,1,1,1,0,0,18
34,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,903,2,538,2,1,21000,11298000,1,0,1,1,1,0,0,18
35,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,904,2,520,2,1,21000,10920000,1,0,1,1,1,0,0,18
36,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1001,1,378,1,1,21000,7938000,1,0,1,1,1,0,0,4
37,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1002,2,570,2,1,21000,11970000,1,0,1,1,1,0,0,18
38,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1003,2,538,2,1,21000,11298000,1,0,1,1,1,0,0,18
39,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1004,2,520,2,1,21000,10920000,1,0,1,1,1,0,0,18
40,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1101,1,378,1,1,21500,8127000,1,0,1,1,1,0,0,19
41,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1102,2,570,2,1,21500,12255000,1,0,1,1,1,0,0,1
42,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1103,2,538,2,1,21500,11567000,1,0,1,1,1,0,0,1
43,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1104,2,520,2,1,21500,11180000,1,0,1,1,1,0,0,1
44,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1201,1,378,1,1,21500,8127000,1,0,1,1,1,0,0,19
45,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1202,2,570,2,1,21500,12255000,1,0,1,1,1,0,0,1
